GEO.id,GEOID,GEO.display-label,LaborForceParticipationRate,LaborForceParticipationRate-MOE,EmploymentRate,EmploymentRate-MOE,UnemploymentRate,UnemploymentRate-MOE,FemaleLaborForceParticipation,FemaleLaborForceParticipation-MOE,FemaleCivilianEmployment,FemaleCivilianEmployment-MOE,CommutingToWork-DrivingAlone,CommutingToWork-DrivingAlone-MOE,CommutingToWork-Carpool,CommutingToWork-Carpool-MOE,CommutingToWork-PublicTransit,CommutingToWork-PublicTransit,CommutingToWork-Walked,CommutingToWork-Walked-MOE,CommutingToWork-Other,CommutingToWork-Other-MOE,CommutingToWork-Home,CommutingToWork-Home-MOE,PrivateWageSalary,PrivateWageSalary-MOE,"Income<10,000","Income<10,000-MOE",Income10k-15k,Income10k-15k-MOE,Income15k-25k,Income15k-25k-MOE,Income25k-35k,Income25k-35k-MOE,Income35k-50k,Income35k-50k-MOE,Income50k-75k,Income50k-75k-MOE,Income75k-100k,Income75k-100k-MOE,Income100k-150k,Income100k-150k-MOE,Income150k-200k,Income150k-200k-MOE,Income200K+,Income200K+-MOE,MedianHouseholdIncome,MedianHouseholdIncome-MOE,MeanHouseholdIncome,MeanHouseholdIncome-MOE,HouseholdsWithEarnings,HouseholdsWithEarnings-MOE,HouseholdsMeanEarnings,HouseholdsMeanEarnings-MOE,HouseholdsWSS,HouseholdsWSS-MOE,HouseholdsMeanSSIncome,HouseholdsMeanSSIncome-MOE,HouseholdsWPublicAssistanceIncome,HouseholdsWPublicAssistanceIncome-MOE,HouseholdsMeanPublicAssistanceIncome,HouseholdsMeanPublicAssistanceIncome-MOE,HouseholdsWFoodStampSNAPBenefits,HouseholdsWFoodStampSNAPBenefits-MOE,FamiliesIncome<10k,FamiliesIncome<10k-MOE,FamiliesIncome10k-15k,FamiliesIncome10k-15k-MOE,FamiliesIncome15k-25k,FamiliesIncome15k-25k-MOE,FamiliesIncome25k-35k,FamiliesIncome25k-35k-MOE,FamiliesIncome35k-50k,FamiliesIncome35k-50k-MOE,FamiliesIncome50k-75k,FamiliesIncome50k-75k-MOE,FamiliesIncome75k-100k,FamiliesIncome75k-100k-MOE,FamiliesIncome100k-150k,FamiliesIncome100k-150k-MOE,FamiliesIncome150k-200k,FamiliesIncome150k-200k-MOE,FamiliesIncome200k+,FamiliesIncome200k+-MOE,FamiliesMedianIncome,FamiliesMedianIncome-MOE,FamiliesMeanIncome,FamiliesMeanIncome-MOE,FamiliesPerCaptiaIncome,FamiliesPerCaptiaIncome-MOE,NonFamilyHouseholdsMedianIncome,NonFamilyHouseholdsMedianIncome-MOE,NonFamilyHouseholdsMeanIncome,NonFamilyHouseholdsMeanIncome-MOE,MedianWorkerEarnings,MedianWorkerEarnings-MOE,HealthInsuranceCoverage,HealthInsuranceCoverage-MOE,HealthInsuranceCoverage-Private,HealthInsuranceCoverage-Private-MOE,HealthInsuranceCoverage-Public,HealthInsuranceCoverage-Public-MOE,FamiliesBelowPovertyLevel,FamiliesBelowPovertyLevel-MOE,MarriedCouplesBelowPovertyLevel,MarriedCouplesBelowPovertyLevel-MOE,PeopleIncomeBelowPovertyLevel,PeopleIncomeBelowPovertyLevel-MOE,ChildrenUnderPovertyLevel,ChildrenUnderPovertyLevel-MOE
1400000US17001001002,17001001002,"Census Tract 10.02, Adams County, Illinois",59.5,4.5,56.2,4.4,3.3,1.7,52.9,5.4,50.7,6.1,86.3,5,5.1,3.1,0,1.7,0.7,1.3,1.9,2,5.9,4.2,79.6,6.1,3.9,2.2,3.5,2.4,12.6,5.2,13.7,5.1,13,5.1,21,6.2,14.4,5.7,11.3,4.9,5.3,4.6,1.4,1.6,54944,10083,65749,7627,70.1,4.9,71056,12341,41.3,4.7,17427,1632,2.2,1.9,2734,1176,6.3,3.8,1.1,1.7,0.8,1.5,8.9,6.5,11.5,5.9,13.4,6.3,23.5,7.7,18.6,7.8,13.1,5.8,7.3,6.2,1.9,2.2,67398,6251,76332,11167,25419,3158,28971,6588,34613,8373,33287,4099,97.6,1.9,76.4,6.7,35.1,6.2,3.2,3.4,0,3.6,6.5,4.3,4.8,6.6
1400000US17001001100,17001001100,"Census Tract 11, Adams County, Illinois",63.1,3.8,60,3.6,2.8,2,61,5,57.3,4.8,85.2,5.7,10.8,5,0,0.7,0.1,0.2,0.4,0.7,3.5,2.4,82.9,4.2,7.1,2.5,6.5,3.3,6.3,2.9,11.6,4.8,12.9,4,19.9,5.1,10.9,3.5,12.4,4.2,5.5,2.4,7.1,2.9,56270,3724,81178,9790,69.1,5.4,83663,12973,40.7,5.3,19735,2156,0.4,0.6,,,9.7,3.9,4.9,2.8,2.1,1.9,4.3,3.4,8.6,5.5,12.5,5.4,19,6,13.9,4.8,17.5,6,7.5,3.5,9.7,4.1,70777,16461,100211,13954,35535,4360,32578,4695,39443,8071,33971,4708,98.3,1.3,74.9,5.2,43.2,5,9.6,4.1,3.8,2.5,10.1,3.7,13.6,10.2
1400000US17001010100,17001010100,"Census Tract 101, Adams County, Illinois",68.7,3.1,65.9,3.3,2.7,1.6,65.3,4,63.1,4.5,86,2.8,7.6,2.3,0,1.2,0.9,0.6,0.7,0.6,4.8,2,80,4.2,2.6,1.3,4.8,2.2,9.1,2.3,11,3,20.6,3.7,21.1,3.6,14.5,3,12.2,3.1,3,2,1.1,0.9,52568,4551,63202,4334,79.4,3.2,64085,5267,36.1,3.6,16900,1550,0.4,0.5,1286,844,7.7,2.9,2.7,1.6,0.6,0.7,5.3,2.5,7.2,2.8,18.2,4.8,26.5,4.6,17.9,4,17.5,4.2,2.5,2.1,1.5,1.2,65805,4462,73527,5576,26474,1893,29556,5931,35663,6652,33400,2245,93.4,2.3,71.6,4.5,33.7,4.1,5.2,2.6,2.1,2,7.6,3.3,11.6,8.6
1400000US17001010200,17001010200,"Census Tract 102, Adams County, Illinois",62.5,4.4,60.2,4.3,2.4,1.1,58.2,5.3,56.4,5.2,84.1,3.8,7.3,2.6,0.1,0.3,1.7,1.1,2.8,2.1,4,2.2,78.4,3.9,6.1,2.4,5.6,1.9,16,5.2,8.3,2.4,15,3.8,22.9,4.2,11.1,2.7,13.7,3.2,0.6,0.5,0.8,0.7,49202,4304,56844,3974,76,4.7,60899,4572,32.4,4.8,17051,1164,1.8,0.9,3685,2531,10.5,2.9,2.7,1.7,2.9,1.6,14,7.3,8.5,3.2,14,3.9,26.6,5.6,13.3,3.8,16.1,4.6,0.9,0.8,1.1,1,55795,6493,64906,5897,24124,1764,30119,6432,37038,5364,30458,2814,94,2.2,73.3,3.9,34.5,4.4,7.1,2.6,4.6,2.6,9.6,2.7,9.9,5.2
1400000US17001010300,17001010300,"Census Tract 103, Adams County, Illinois",64.5,4,60.7,4.2,3.8,1.8,58.6,5.1,57.2,5.4,77.7,5,9.1,3.7,0,1,1.2,1.2,3.1,2.8,8.9,4.1,73,5,2,1.3,3.1,1.5,12.8,4.4,8.5,4.1,19.1,5.5,21,4.6,13.1,4.2,16.2,5.4,2.7,2,1.5,1.4,56026,7494,66733,6513,80.8,4.4,65752,8259,35.5,4.8,18201,2076,2.1,1.4,2493,839,10,4,1.1,0.9,2,1.7,8.3,4.5,8.5,5.1,20.4,6.3,21.3,5.4,16.5,4.4,16.6,6.6,3.5,2.5,1.8,1.8,62284,7367,72617,7794,24639,2520,31694,12960,40771,7889,32200,4663,89.7,4.7,69.3,5.7,33.4,4.4,4.8,2.4,3,2,7.8,3.4,10.2,5.5
1400000US17001010400,17001010400,"Census Tract 104, Adams County, Illinois",68.2,4.9,64.1,4.9,4.1,2.4,61.7,8.1,58.3,8.4,84.5,5.9,11.1,5.5,0,1.6,0.3,0.7,0.3,0.5,3.8,2.4,84.3,5.6,3.3,2.4,1.2,1.3,5.8,3.2,10.2,5.3,12.8,5.5,23.5,6.5,12.1,4.4,21.2,5.6,3.9,3,5.9,3.5,64699,8002,87322,11283,85.2,4.4,86969,12349,36.3,5.1,19683,2514,0.6,0.9,,,3.4,3.5,0.6,1,0,2.7,5.7,3.6,3.4,2.8,14,5.5,24.7,7.9,14.6,5.4,25.1,6.2,4.3,3.4,7.6,4.5,76212,13555,99488,14812,32241,4449,32321,8446,39961,9957,36800,2586,98.8,1.5,86.1,4.6,26.5,5.2,3.1,2.8,2.1,2.2,6.3,3.9,7.2,9.4
1400000US17001010500,17001010500,"Census Tract 105, Adams County, Illinois",67.3,4.7,66.4,4.9,1,1,62,6.3,60.1,6.7,89.8,3.8,4.5,3.2,0,1.7,0,1.7,2.5,1.9,3.2,1.9,81.6,4.3,0.8,1.1,3.6,2.5,6.3,3.8,10,4.5,10.6,4.4,17.1,6,21.8,7,22.6,5.7,1.7,1.7,5.4,3.2,75633,9730,90881,16695,76.8,4.8,82485,10047,36.3,4.3,22661,2663,0,2.1,,,1.5,1.6,0,2.7,2.9,2.6,3.3,2.9,7.9,4.8,8.4,4.4,18.3,6.5,24,8,27.1,6.6,2.2,2.2,6,3.7,81150,7088,98903,19177,39508,7679,35114,9271,57728,26454,38309,9371,97.7,2,89.5,5.6,29.4,4.3,1.8,1.9,2,2.1,2.9,2,0,4.1
1400000US17001010600,17001010600,"Census Tract 106, Adams County, Illinois",62.5,6.9,60.7,6.8,1.8,1.8,60.1,8.4,57.7,8,89.9,5.4,4.7,3.3,0,0.9,2.3,2.8,0,0.9,3.1,2.6,87.4,3.1,5.1,3.8,6.2,4.9,8.8,4.8,5.7,3.2,14.1,5.8,19.2,6.3,9.9,4.2,18.1,4.9,7.9,4,5,3.8,60144,7067,82383,14562,74.2,6.4,76380,10383,35.9,5.7,23398,2789,2.1,1.9,4721,4557,8.4,5.3,4.9,4.8,0,1.7,4.7,5.4,4.8,3.5,14,5.3,18,6.6,14.2,6,25,6.5,11.4,5.8,3,2.7,81439,14860,90233,11568,31788,5810,32891,15991,64532,40045,32143,4866,97.1,2.2,77.3,7.1,36.4,7.5,8.4,6.9,2.4,2.7,10.1,6.1,11.3,11.5
1400000US17003957600,17003957600,"Census Tract 9576, Alexander County, Illinois",38.5,5.3,34.8,5.1,3.7,1.7,37.4,7.5,33.9,7.2,85.9,6.7,4.8,3.3,0,4,2.4,2.5,0.6,0.6,6.4,4,64.9,7.8,11.9,5.1,11.8,5.5,12.3,4.4,11.6,4.7,18.6,5.6,14.9,5.5,9.9,3.8,7.1,3.5,1.8,1.8,0.1,0.4,37868,6271,44088,4550,57.1,6.2,48204,6566,46.6,6.2,17119,1474,12.7,5.7,4155,2080,18.4,6.3,8.6,6.2,9.4,5.9,7.9,4.4,14.6,6.2,16.7,5.7,17.4,7.3,12.2,4.7,10.5,4.9,2.6,2.6,0,5,42464,4248,51565,6151,17440,2010,21691,5959,26257,4493,30264,5169,90.2,3.4,40.3,6.2,63.2,6,23.1,7.4,19.4,9.7,34.9,8.1,65.6,15.8
1400000US17003957700,17003957700,"Census Tract 9577, Alexander County, Illinois",49.6,7.5,46.4,7.4,3.3,2.5,45.7,9.9,45.7,9.9,79.4,7.8,13.2,7.4,0,4.8,2,2.3,4.6,4.4,0.9,1.6,74.6,7.6,4.6,2.9,4.6,2.8,21.2,8.5,8.5,4.4,25,7.8,18.7,7.1,6.3,4.9,6.5,4.4,3.9,3.6,0.6,0.7,42014,8511,53791,7814,56.8,8,59205,11597,46.8,8.3,18444,2236,4.6,3.2,3748,2406,18.4,5.4,3.2,3.1,3,2.8,17.9,9.2,8.5,5,25,8.6,21.1,8.4,7.8,6.1,8,5.4,4.8,4.5,0.7,0.9,47708,6107,59768,9666,20639,3637,23661,9037,27638,4898,23661,6420,95.7,2.5,50.6,9.1,57.9,8.8,11.2,5.3,4.6,3.5,19.6,6.8,47.4,16.7
1400000US17003957800,17003957800,"Census Tract 9578, Alexander County, Illinois",45.1,8.8,42.2,9.1,2.8,2.7,40.5,9.9,37.6,10.2,91.4,6.6,4.2,4.5,3.9,4.5,0,6.2,0,6.2,0.5,1.8,75,10.5,18.7,7.5,3.3,3.2,34.8,9.1,8.7,6.1,10.6,5.3,9.6,6.6,5.1,3.6,4.3,4.1,3.7,5.4,1,1.5,23349,2858,38705,9203,53.9,10.8,41496,12668,49.6,9.2,17135,2873,7.1,4.9,1144,790,35.6,8.3,17.3,10.6,3.9,4.3,30.9,12.1,5.5,4.5,9.4,7,14.3,8.6,3.6,3.7,7.2,6.7,6.2,8.7,1.6,2.5,24440,13807,46198,13222,15254,3593,19875,6138,25885,5725,21731,5962,89.4,7.3,36,8.5,64.6,8.6,43.3,11.8,5.8,7.3,46.2,10.9,69,18.9
1400000US17003957900,17003957900,"Census Tract 9579, Alexander County, Illinois",49.9,6.9,44.9,6.9,5,4.2,58.5,9.5,56.6,9.5,96.8,3.9,0,5.8,0,5.8,2.2,2.8,0,5.8,1.1,2.7,90.4,9.4,18.8,9.7,11.9,10.2,17.3,10.3,23.5,11.8,4.2,3.5,16.5,8.6,1.5,2.2,0,4.5,5.5,5.7,0.7,1,25542,2981,40723,13372,65.5,9.7,42426,20795,38.2,10.1,16558,2622,9.1,7.5,1591,558,45.2,9.3,7.4,9.2,21.2,19.9,7.1,8.3,26.4,17.3,9.3,7.3,25.3,15.5,3.3,4.9,0,9.7,0,9.7,0,9.7,30324,6200,32388,7352,21830,6241,23015,3983,47600,22985,21509,4343,89.4,5.3,33.2,7.2,71.8,8.2,28.6,18.7,4.3,6.8,33.4,11.7,50.2,24
1400000US17005951200,17005951200,"Census Tract 9512, Bond County, Illinois",52.5,5.6,50.6,5.8,1.8,1.1,48.7,6.8,46.7,7.1,85.8,5.2,7.7,4.1,0,2.3,2,1.7,0.3,0.4,4.3,2.5,75.6,5.6,9.3,4.4,5.9,2.8,13.7,4.1,3.4,1.9,8.8,3.1,20.5,5.9,12.4,3.6,14.3,5,7.5,4.1,4.2,3.7,58313,6326,73484,10831,63.6,6,78411,13545,43.9,5.5,17440,1590,1.7,1.7,6425,2782,8.9,3.6,1.6,1.3,1.5,1.9,7.9,3.8,3.7,2.2,9.9,4.6,24,7.4,19,4.9,20.8,6.7,8.7,6,2.9,3.1,78750,12855,87563,11461,30981,4278,18750,4966,41308,19872,31250,3559,88.1,4.7,69.8,6.1,33.6,5.4,8,3.7,3.6,2.6,13.6,5.5,18.8,11.3
1400000US17005951300,17005951300,"Census Tract 9513, Bond County, Illinois",48.1,8.3,45,8.7,3.1,1.9,58,8.9,54.3,9,64.9,11.7,12,6.3,0.1,0.2,19.8,11.2,0,1.1,3.3,2,85.9,8,7.7,5.5,2,2.2,11.6,5.2,10.6,4.5,15.3,7.6,29.5,6.5,12.2,5.2,6.8,4.2,3.4,3.2,0.9,1.4,50917,2748,58158,6549,75.7,6.7,50415,8041,37.6,6,17083,2782,4.1,3.3,2499,569,15.5,6,7.6,6.9,0,2.3,11.4,7.1,8,5,12.7,7.4,29,8.8,16.4,7.8,8,6.6,5.5,5,1.4,2.3,63184,14115,66448,9824,18677,2466,35446,18403,41524,7718,17277,2469,95.9,1.7,68.7,7.2,43.9,6.4,15.8,7.1,2.6,3.8,24.5,8.5,34.5,16
1400000US17005951400,17005951400,"Census Tract 9514, Bond County, Illinois",62.4,4.7,58.7,4.8,2.6,1.2,61.9,6.7,59.5,6.9,78.6,6.1,11.8,4.5,0.3,0.8,0.3,0.4,0,1.9,9,4.9,76.5,6,6.5,2.9,2.6,1.9,13.5,4,10.5,3.8,9,4.1,25.7,6.2,10.3,4.4,19.2,6.3,0.8,1,1.7,1.9,55133,5297,63021,6633,74.2,5,64284,8373,36.6,5.8,18115,2889,1.6,1.4,2695,1838,11.2,3.7,3.9,3.5,2.8,2.3,3.9,2.5,8.8,5,13.4,6.1,25.3,6.6,11.2,5.7,27.1,8.7,1.2,1.4,2.5,2.8,65078,10244,75294,8766,26172,2750,25833,8946,35147,6150,32083,5236,96.2,2.4,75.1,7.5,36.6,6.8,6.9,4.1,2,2.3,7.9,3,6.8,5
